,q,kappa,r,a_rho,criterion,fval,gval,fmax,Boundary
0,0.7477650486388876,0.0,-0.9755398114833812,0.088303458950941,S1,-2.6168704422363023,0.894519353588761,-2.6168704422363023,False
0,0.6881717738556581,0.0,-0.8344825103674934,0.0,S1,-2.8549861871635556,0.8741431599638091,-2.8549861871635556,False
0,0.8169403975954339,0.0,-0.9619513375064644,0.0,S1,-2.7625557573886876,0.8971903586138305,-2.7625557573886876,False
0,0.6706411633008865,0.00980693535328597,-0.7819673913337946,0.0,S1,-3.2383308544396465,0.8107663304423379,-3.2383308544396465,False
0,0.8003152521057876,0.0,-0.9154412290201638,0.07241525196334134,S1,-2.712974772077085,0.8962377951906322,-2.712974772077085,False
0,0.8438352677457551,0.0,-1.0,0.0,S1,-2.717684741563872,0.9059132573276926,-2.717684741563872,False
0,0.7065328392823705,0.0,-0.8997354295649136,0.11726291992255647,S1,-2.7380695481346664,0.8683110505822335,-2.7380695481346664,False
0,0.7056739829030505,0.0,-0.7756654090267996,0.0,S1,-2.8469178458187465,0.8710241228507436,-2.8469178458187465,False
0,0.7770942712616774,0.0,-0.8438576328786711,0.0,S1,-2.881693494581649,0.8788401090572007,-2.881693494581649,False
0,0.8484040456164474,0.046893924284252354,-0.9736198080787032,0.03086875160692779,S1,-3.3033566099889735,0.7603299312235556,-3.3033566099889735,False
0,0.8115089624163813,0.0,-0.8194885253906251,0.0,S1,-2.855845044481672,0.8842023548758102,-2.855845044481672,False
0,0.7469750060871081,0.0,-0.73297119140625,0.0,S1,-2.8451336918350503,0.8765404599631806,-2.8451336918350503,False
0,0.7108656990914237,0.0,-0.7534479589657022,0.08235340466405026,S1,-2.7517242016602443,0.8595900303702794,-2.7517242016602443,False
0,0.808688722682356,0.0,-0.73297119140625,0.0,S1,-2.869033539787527,0.8796220362603486,-2.869033539787527,False
0,0.8114116560285016,0.0,-0.73297119140625,0.06539541628688704,S1,-2.7299835313932967,0.878530247550299,-2.7299835313932967,False
0,0.8318661507012639,0.0,-1.0,0.09568776633875431,S1,-2.534256625579701,0.9007390251491129,-2.534256625579701,False
0,0.7559173558618126,0.0,-0.6631315245827322,0.0,S1,-2.852758860828704,0.8718295851589156,-2.852758860828704,False
0,0.7541586916389307,0.04520222498435302,-0.7416969144546793,0.0937425313323522,S1,-3.746723190346574,0.7099621868750814,-3.746723190346574,False
0,0.8732255165825177,0.0,-0.9542681145226349,0.0,S1,-2.695361594889339,0.9062573139118115,-2.695361594889339,False
0,0.8712151114421322,0.0,-0.8455900997354598,0.0,S1,-2.766050220118697,0.8955672688495339,-2.766050220118697,False
0,0.7936470956556779,0.0,-0.6412443561150061,0.07097122615777784,S1,-2.7351200793981505,0.8694235812469507,-2.7351200793981505,False
0,0.866485595703125,0.0,-0.9467549422224806,0.11288718211347698,S1,-2.571620991924072,0.9014321620772038,-2.571620991924072,False
0,0.8159600935160409,0.0,-0.628170227031869,0.0,S1,-2.816253846177899,0.8797813500937772,-2.816253846177899,False
0,0.8391892236730115,0.0,-0.654387989396145,0.09084872660473793,S1,-2.6455601275366707,0.8776942706214268,-2.6455601275366707,False
0,0.9062451753989714,0.0272070215766979,-0.9350545473557985,0.02679598598232485,S1,-2.8880222443160624,0.8277318043508416,-2.8880222443160624,False
0,0.8680004055411537,0.0,-0.6878704167555894,0.0,S1,-2.8535039192776237,0.8828038733028755,-2.8535039192776237,False
0,0.9053278692991797,0.0,-0.73297119140625,0.0,S1,-2.8006768160491173,0.9009549715945409,-2.8006768160491173,False
0,0.8284905109315684,0.0,-1.0,0.17556649661457358,S1,-2.5648660939741488,0.9011571951770465,-2.5648660939741488,False
0,0.6530926265169398,0.0,-0.73297119140625,0.0,S1,-2.5112269090017385,0.8579734575154887,-2.5112269090017385,False
0,0.8778338464884051,0.0,-0.6122891792315928,0.0,S1,-2.855999200218106,0.8866475385012667,-2.855999200218106,False
